file,events,duration,parts
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (87).mid,651,102.91666666666667,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (88).mid,593,132.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (89).mid,393,215.41666666666666,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (9).mid,942,220.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (90).mid,589,164.33333333333334,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (91).mid,605,92.75,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (92).mid,694,180.41666666666666,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (93).mid,587,172.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (94).mid,710,298.3333333333333,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (95).mid,615,437.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (96).mid,429,141.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (97).mid,669,180.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (98).mid,631,142.5,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (99).mid,961,213.66666666666666,1
